Date	Price	Open	High	Low	Vol.	Change %
30-09-2024	186.33	187.14	188.49	184.65	41.68M	-0.87%
27-09-2024	187.97	190.68	190.9	187.34	36.00M	-1.67%
26-09-2024	191.16	194.31	194.53	189.54	36.33M	-0.71%
25-09-2024	192.53	193.75	193.95	192.16	26.39M	-0.74%
24-09-2024	193.96	194.27	195.37	190.13	43.48M	0.04%
23-09-2024	193.88	191.64	194.45	190.57	36.99M	1.19%
20-09-2024	191.6	190.23	191.84	187.41	100.38M	0.91%
19-09-2024	189.87	190.04	190.99	188.47	39.54M	1.85%
18-09-2024	186.43	186.45	188.8	185.06	34.45M	-0.24%
17-09-2024	186.88	186.85	189.45	186.14	26.09M	1.08%
16-09-2024	184.89	185.29	185.81	183.36	26.07M	-0.86%
13-09-2024	186.49	187	188.5	185.91	26.50M	-0.27%
9/9/2024	175.4	174.53	175.85	173.51	29.04M	2.34%
6/9/2024	171.39	177.24	178.38	171.16	41.47M	-3.65%
5/9/2024	177.89	175	179.88	174.99	40.17M	2.63%
4/9/2024	173.33	174.48	175.98	172.54	30.31M	-1.66%
3/9/2024	176.25	177.55	178.26	175.26	37.82M	-1.26%
